Moyenne;7,22;Moyenne UE1;7,18;Moyenne UE2;7,77;Moyenne UE3;6,28;Moyenne UE4;7,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N° anonymat ;Moyenne;Rang;Note UE1;Rang UE1;Note UE2;Rang UE2;Note UE3;Rang UE3;Note UE4;Rang UE4;QCM1;QCM2;QCM3;QCM4;QCM5;QCM6;QCM7;QCM8;QCM9;QCM10;QCM11;QCM12;QCM13;QCM14;QCM15;QCM16;QCM17;QCM18;QCM19;QCM20;QCM21;QCM22;QCM23;QCM24;QCM25;QCM26;QCM27;QCM28;QCM29;QCM30;QCM31;QCM32;QCM33;QCM34;QCM35;QCM36;QCM37;QCM38;QCM39;QCM40;QCM41;QCM42;QCM43;QCM44;QCM45;QCM46;QCM47;QCM48;QCM49;QCM50;QCM51;QCM52;QCM53;QCM54;QCM55
0229;8,83;9;10,20;6;7,20;26;7,8;7;10,13;8;DE;BE;CDE;BC;BCE;AE;ACD;ACDE;ADE;BC;CDE;AB;CD;ABDE;A;AB;C;E;AB;B;ACD;ABCD;ABC;BDE;AB;C;D;ACD;AE;AC;CE;ABD;AB;ABC;AC;CE;A;ACE;BCE;ABDE;BE;ADE;ADE;ABCE;ACDE;CDE;ABCDE;ABCD;AD;CE;ABDE;CDE;AD;ABCD;ABC
0279;4,69;38;4,60;34;5,30;36;3;39;5,87;28;ABC;AE;ABCD;BC;B;CE;;BCE;ADE;BC;ABCE;ACD;AD;;B;ACD;;A;BCD;AC;D;ADE;ABC;E;CD;C;C;BD;AE;BD;DE;C;AD;CD;D;AC;ABDE;DE;AC;ABCDE;DE;CDE;AC;AB;ACDE;CDE;DE;ABCE;AC;CDE;ABDE;CDE;ABCDE;ACD;AB
0329;7,40;20;7,20;16;9,40;9;4,6;30;8,40;16;ADE;BCE;CD;BC;BC;BE;ACDE;ABCD;D;BD;BDE;AB;BE;AD;AD;ABCD;A;A;AB;A;CD;A;ABC;AE;C;C;BD;BD;B;AC;C;AD;ABC;AC;ABCE;ABCE;ABDE;E;AE;BCD;B;BCD;C;BCD;BCDE;D;BCDE;ABC;D;CDE;ABDE;BCDE;ABDE;AC;ACD
0402;5,15;36;7,20;16;4,40;40;5;28;4,00;39;ACD;ABE;ABD;ABCD;BCD;ACE;ABE;DE;ABE;ACE;BDE;ABD;DE;ACE;D;ABDE;E;A;BC;AC;ACD;AE;ACD;AE;BE;C;A;A;A;A;CD;BE;BCE;CD;AC;ACE;ADE;DE;BCDE;ABDE;AB;ABCD;DE;ABD;BCDE;ABCE;ABCE;ABCDE;BCE;CE;ABCDE;ACD;BCDE;ABCE;ADE
0405;8,17;12;8,20;12;8,80;11;5,4;24;10,27;6;ABDE;BCE;BCD;BCD;CD;ADE;ABC;AC;ADE;ACE;ABDE;B;AB;CD;A;ACD;C;C;C;A;BC;ADE;ABCD;AE;AD;;CD;C;BE;AC;CD;ABE;E;CD;AC;ACE;ACDE;BCE;BCE;AB;BCDE;AD;ACDE;ABD;BCDE;CDE;ADE;ABDE;BE;ACD;ABDE;BCDE;ACDE;BDE;ABCDE
0646;10,26;3;11,20;4;8,70;12;10,2;3;10,93;5;DE;CE;BCD;BC;BD;ABCE;ABD;ABCD;ABDE;BCE;ABCDE;ABC;AD;D;BD;ACDE;C;C;AC;AC;CE;ABDE;BC;ACDE;ABCD;CE;E;CD;AE;AC;C;CD;CD;CE;ACE;ACE;A;AC;ABE;ABCD;BE;CD;ACE;DE;ACDE;CDE;ABCDE;BCD;CD;ACDE;ABDE;BCDE;ACDE;ABCD;ACDE
1004;;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1169;5,53;32;6,60;23;6,20;30;3,2;38;6,13;27;CDE;BE;BD;CD;ABC;ABE;AB;ABDE;ADE;AC;BCDE;AC;AC;;AD;ABCD;C;E;ABC;BCDE;CDE;ADE;ABE;ADE;CD;CE;BCD;AD;ACD;BD;BC;ABCE;BC;ACD;ACD;ABCE;ABC;DE;CE;ABE;DE;ABC;ACDE;ABDE;ACDE;ACDE;ACE;ACDE;ABC;ACDE;ABCDE;BDE;ABCD;ABCE;ABCE
1297;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1333;5,51;33;5,40;29;7,50;21;4,2;33;4,93;35;DE;BDE;AD;BCD;BD;;;;A;;BDE;ACD;ABCDE;C;AD;ABCDE;B;B;BCD;A;D;AC;AB;E;ABCDE;CE;CDE;BCD;B;AC;ABCD;ABCDE;ABCDE;ABE;ACD;ABCE;ABDE;ACE;ABDE;ABE;ABCDE;AD;BDE;ABDE;ABCE;AE;ABC;ADE;ABE;ACE;ABCDE;BDE;AD;ADE;ACDE
1425;8,95;6;13,40;1;6,80;28;7,6;12;8,00;21;ADE;E;BCDE;BCD;BCD;ABE;CD;ACD;BE;ABCE;ABDE;BC;BDE;C;A;ABCE;B;C;E;ACD;ABC;ABD;AC;BE;;CE;;D;;AC;BC;AB;A;C;CE;C;D;A;BCE;ABCDE;BE;ACD;ACD;ABE;ABCE;;BD;ABCD;CD;;ABDE;CDE;AC;ABC;BC
1467;3,93;40;2,60;40;5,60;35;3,4;35;4,13;38;ABCE;CDE;BCD;BCE;AB;AC;BE;BE;DE;B;BDE;BC;ACE;CE;B;AE;D;A;BD;CE;E;ADE;ABE;ACE;B;C;A;AD;CDE;AC;C;AE;ACE;BCDE;CD;ABCE;ACDE;ACDE;BC;ABCE;CDE;AE;ACE;ABC;CDE;BCE;ABCDE;BCD;ABE;ABCE;ABDE;ADE;ABC;ADE;ACD
1574;5,44;34;5,20;30;7,70;18;3,8;34;5,07;34;ABD;ACE;BDE;BCE;ABE;ACD;AD;ADE;ABE;ABC;ABCE;ABC;ABE;DE;BDE;ACE;A;A;E;ACDE;ACD;ACE;ACD;ACE;ABCE;C;CDE;ABCD;B;ACE;ABC;ADE;ABD;ABC;CDE;ABCE;ABDE;CDE;BDE;BCD;AD;ABCDE;ACDE;ABCD;ACDE;ABCDE;ABCDE;ABCE;ABCD;CDE;ABCDE;BDE;AB;ACE;BCE
1764;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1778;6,00;27;6,60;21;5,00;39;6,8;16;5,60;30;ADE;AD;BC;BCDE;ABCD;AB;C;ACE;AD;CE;ABDE;BD;AD;D;AD;ABCDE;;A;E;A;AD;;BCE;BDE;AC;D;D;E;A;AC;BC;ACE;ABC;ACD;CE;AC;BD;A;C;ABE;CDE;A;CD;ADE;CD;BDE;BCDE;BCDE;C;CDE;ABCDE;BCDE;ACD;AC;DE
2106;6,52;25;5,20;30;8,20;16;7,2;13;5,47;31;ADE;CDE;ACE;BCE;ABCD;AC;CE;ABD;AB;AC;BDE;A;ADE;D;AD;ACD;E;A;B;A;CE;ABCD;ABCE;BE;ABD;D;A;BD;BE;AC;BC;ADE;ACD;ACD;CE;ACE;AB;AE;BCE;AB;ACE;AE;BD;DE;BCE;ACD;ABCDE;CDE;B;ACDE;ABD;BCDE;ABC;ABCD;BDE
2197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2428;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2564;5,82;29;7,00;19;7,40;22;3,4;35;5,47;31;DE;ABCE;ABCD;BD;ABC;ABCE;DE;ABDE;AE;BE;BCDE;AB;ABE;BD;A;ACD;;E;E;ABC;;A;ABC;A;;CE;DE;E;A;AC;BCDE;AC;ABCD;CD;ABC;ABCE;BCD;ABCDE;BC;ABE;ABD;ADE;AE;ABCE;BE;CD;ABCDE;ACD;ACDE;;ABCDE;CDE;ABCE;ABCD;ADE
2593;7,89;16;8,80;10;8,30;15;6,6;17;7,87;22;CDE;BCE;BCDE;BC;BD;CE;ABE;ABE;ABDE;CE;BCE;ABC;AE;;AD;ABCD;AD;A;ABD;AC;CDE;ADE;ABE;ADE;CD;CE;BDE;AD;AE;AC;CD;ABE;BDE;ACD;ACE;CE;AC;ADE;BCE;ABCD;ABE;AD;ACE;BC;ACDE;ACDE;ABCDE;ACDE;BCD;ACE;ABDE;BDE;ABCD;ABCD;ACDE
3016;5,53;31;4,80;33;5,80;33;5,4;23;6,13;26;ACE;BCE;BCD;ABCD;AE;BDE;A;ACE;ADE;AC;BCDE;AC;ADE;AE;AE;AC;A;C;E;AD;AD;DE;ACD;ADE;ADE;E;AE;B;AE;AC;CD;AB;AB;C;CE;ACE;ABDE;B;BE;ABDE;AB;AD;AE;ABD;ACE;CDE;CD;ABCD;ACD;ADE;ABCDE;BD;B;ACDE;ACD
3036;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3336;10,72;2;9,80;7;11,80;1;13;1;8,27;18;ABDE;BCE;BCE;BCD;BCD;ABCE;BC;ACE;DE;DCE;BCDE;ABD;B;DE;AD;ACDE;;A;A;A;DE;AD;ABC;AE;A;C;CD;CD;B;AC;CE;A;AE;CE;ACE;C;;A;ABDE;AB;BE;A;AC;ADE;CE;ACDE;ABDE;ADE;ABD;B;ABDE;BCDE;ACDE;ABC;ABCDE
3495;8,94;7;13,00;2;8,10;17;6;21;8,67;15;ADE;BCE;CDE;BC;BCDE;ABCE;AD;ADE;ADE;BCE;ABCDE;ABC;ADE;DE;;ACDE;A;A;CD;AC;;ABE;AB;BCE;E;D;CDE;A;BE;AC;ACE;ABDE;AB;CD;ACE;ACE;D;ACE;BCE;ABCDE;BDE;AD;BDE;ABE;BDE;CDE;BCDE;ABD;ABD;E;ABDE;BD;ACDE;ABC;ACDE
4154;8,01;13;9,80;7;6,70;29;3,4;37;12,13;2;ADE;AE;BCDE;BC;ABCD;ABD;ACE;ABE;ABE;BCE;ABDE;BC;BCD;CD;C;ACDE;;C;C;A;ADE;ACD;BD;AE;DE;C;CD;AC;A;AC;CD;ABDE;CD;ACD;CD;ACE;BCE;B;BCDE;ABDE;BCE;AD;ACDE;ABCD;ABCDE;CDE;BCDE;ABDE;BD;BD;ABDE;BCDE;ACDE;BDE;ABCDE
4477;7,59;19;7,60;14;8,70;13;8,2;6;5,87;28;ADE;BCE;CD;BC;BC;ADE;ABC;AE;BE;CE;BCDE;C;AE;CD;AD;ACD;A;E;D;AD;AC;ABD;BCE;ACE;BE;D;BCE;ACD;BE;AC;AC;BC;AD;ACDE;ACE;BCE;ABCE;AC;ACDE;ABD;B;AD;ADE;BC;ABD;AE;ABD;ABCE;BC;AD;ABDE;ACDE;ACE;ABD;ADE
4862;9,72;5;12,00;3;10,60;3;6,4;18;9,87;9;ACDE;ABE;BCD;BC;BCDE;ABCE;BDE;AD;ADE;BCE;BDE;;BDE;DE;AD;ACDE;E;;CD;AC;BCD;ABD;ABC;AE;AC;C;;ABCD;B;AC;C;AE;BDE;ABCDE;CE;CE;D;ABE;AB;ABCE;BE;AD;ABE;ABCD;BCDE;CDE;ABCDE;ACD;BC;ACDE;ABDE;BCDE;CD;ABCDE;ABCDE
5822;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6115;8,42;11;8,80;10;10,40;6;6,2;19;8,27;17;ADE;BE;BCDE;BC;BDE;ABD;ABC;ABE;ADE;AC;BE;B;AE;DE;A;ACE;C;A;C;BE;C;AD;ABC;AE;A;CDE;BCDE;ABC;B;AC;C;BCD;ACE;CE;ACD;ACE;B;CE;CE;ABC;E;AD;AC;ABD;CD;CDE;ABCDE;ABCD;C;E;ABCDE;CDE;ACD;ABCDE;BDE
6131;6,98;21;6,00;25;7,70;18;5,4;24;8,80;14;ADE;CE;BC;BCD;ABC;BE;BC;CDE;AE;A;CDE;C;BD;BE;CE;ACE;A;A;A;A;BCE;ABD;BC;ADE;BE;CD;CD;E;AE;AC;CD;BE;ABC;C;C;ACE;BDE;AC;BDE;BD;BDE;AD;ACE;BCD;ABCDE;CDE;BDE;ACDE;ABD;ACDE;ABE;ABCDE;ACDE;CD;ADE
6211;5,94;28;3,80;38;5,70;34;4,4;32;9,87;9;BCDE;BCDE;BCD;BC;AC;AB;BD;ACE;BDE;AC;ABCDE;D;AC;DE;BE;AB;B;A;ABC;AD;CE;ADE;ABCD;ACE;CD;C;E;CD;AE;AC;ABC;ABE;AB;BCD;ABCE;ABC;ABD;ACD;BC;ABDE;BDE;AD;ABC;BDE;ABCDE;CDE;ABDE;ABC;ADE;ACE;ABDE;BCDE;AD;AB;DE
6295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6375;7,99;14;7,80;13;7,10;27;10;5;7,07;23;ADE;C;AC;ABC;ABCE;ABCE;ACD;AE;ADE;AB;BCD;AB;AB;AD;AD;AC;;;AC;;CDE;AD;ACD;AD;;C;DE;BC;B;AC;BC;AC;AD;CD;ACE;AC;AD;;BCD;AB;CE;ADE;A;ABE;ABCD;B;BDE;BC;C;AC;ABDE;BCDE;AE;AB;BE
6553;6,61;23;4,40;36;6,10;32;7,8;7;8,13;20;BCE;BCE;BCD;BD;BD;ADE;ABE;AC;ACE;A;BDE;BD;AD;CD;B;AC;C;A;ABC;CE;CE;CE;BCD;ADE;AC;C;CD;ACD;AE;AC;AC;B;B;CD;ACE;ABE;ADE;AB;BC;ABE;B;ACD;ACE;BD;BCE;ABC;BCD;ACD;BE;ACDE;ABCDE;BCDE;ADE;ACE;ABCE
6625;5,74;30;5,80;26;6,10;31;4,8;29;6,27;25;DE;BE;ACDE;BCE;ABC;ACDE;ADE;ACE;ACDE;ACE;CD;B;ABD;BCD;ACD;ACE;A;AE;ABC;AD;ACD;ADE;ABC;AC;ADE;D;AC;ACD;AE;AC;CE;AE;BC;CDE;D;ACE;ABCDE;ADE;ABC;ABE;ABDE;ACD;CE;ABCDE;BCD;BCDE;BCD;ACE;AD;AE;ABDE;CDE;ABCD;AB;ABCD
6815;8,87;8;5,60;27;8,60;14;10,2;3;11,07;4;ADE;DE;ABCE;BCDE;ABDE;ABE;ACE;;BCE;AC;BD;ABC;AC;ACD;;ACDE;E;C;A;DE;C;ABD;B;AE;;D;CDE;ACD;AE;AC;C;ACE;BCD;CD;ACE;C;D;ABC;ABCDE;ABD;BE;ACD;ACE;BDE;ABCDE;ACDE;BDE;ACDE;E;ACDE;ABDE;BCDE;ACE;ABCD;ADE
6876;4,47;39;3,60;39;9,60;8;2,4;40;2,27;40;BDE;ACE;ACD;ABD;BCDE;AC;AB;BE;BDE;ACE;ACD;AC;BC;CDE;AD;ACE;A;A;A;BCE;ACE;BC;ABC;BCD;ABD;D;CE;AD;B;AC;ACE;ABE;BDE;BC;ADE;ACE;ABDE;CE;BD;ABDE;ABCD;BCDE;BCE;ACD;ABE;BCD;CD;ABDE;AB;AE;ACD;ACE;CD;AE;BDE
6935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7317;5,01;37;5,20;30;5,10;38;5,2;27;4,53;36;ADE;CD;ACD;BCE;BE;ABC;A;ADE;AD;AC;BCDE;BD;CE;ACE;BD;ACD;A;E;E;AE;AC;AE;BCE;DE;ABE;C;E;D;CD;AC;AC;ACE;ABD;ADE;D;BCE;ABE;CD;BC;ABE;BCE;ACDE;ABD;ABCD;ACDE;ACDE;AD;BCDE;ABCD;ACDE;ABCDE;CDE;AB;ABC;ACDE
7838;7,83;18;6,60;21;7,30;24;7,8;7;9,60;11;ABCDE;BCE;BCDE;BC;ABD;ADE;ABCDE;AB;ADE;ABCD;CDE;AE;BDE;BCD;CE;ACD;A;A;AB;ABC;CE;ABDE;BCE;AE;E;C;CD;D;AE;AC;BC;BDE;CD;BCD;ACE;BCE;AD;AE;BDE;ABCDE;BE;D;ACDE;ABD;ABCDE;ACDE;ABCDE;ACDE;CDE;C;ABCDE;BCDE;ACD;ABC;ABDE
7887;6,45;26;5,60;27;9,40;10;5,6;22;5,20;33;ABCDE;CDE;CD;BC;BCD;AB;E;AE;ACE;CE;ABCDE;AD;BCD;DE;CD;ACE;A;E;BE;CE;ACDE;BD;BDE;ACE;ABD;CE;CD;ABC;BE;AC;ABC;AB;ADE;CD;ABD;AC;CE;AD;BE;ABC;CE;ABD;AE;ABE;DE;BD;BCE;AD;AC;CE;ABCDE;CE;AB;BD;ACE
7928;7,99;14;6,20;24;7,70;18;7,8;7;10,27;6;BDE;BE;BCD;B;BD;ACD;CE;ACE;BDE;ACE;BDE;BD;BD;CD;B;ACDE;A;A;E;AC;CD;D;BCD;ADE;C;CDE;CD;ACD;AE;AC;BCD;AB;ABD;CD;CE;CE;ABCDE;AC;BCE;ABE;BD;AD;ACD;ABE;BCE;CDE;BDE;AD;BE;AE;ABCDE;BCDE;ADE;ACD;ABCDE
7938;5,33;35;7,40;15;5,20;37;4,6;31;4,13;37;ADE;CD;BCE;BCD;ABE;ACE;BD;AE;ACE;BE;BCD;AB;CE;BDE;AD;BCD;D;C;B;DE;ACE;ACE;BC;ACE;AE;AE;AC;C;E;B;CDE;ADE;BCD;BCDE;ADE;AC;BCDE;ACDE;ABCE;ABC;BCDE;ABCDE;ACE;BCDE;BDE;ABCE;ABCDE;BCDE;AB;ACDE;ABCE;CD;ABCDE;A;AD
8195;10,74;1;9,80;7;10,50;4;11,2;2;11,47;3;ADE;BCE;BCDE;BCD;BCE;ABE;ADE;ACE;ABE;AC;BDE;BC;BE;DE;AD;ACD;A;E;BD;AD;BCD;ABE;B;DE;BCE;CE;CDE;D;BE;AC;C;ABDE;AE;CDE;ACE;C;AD;AE;AE;ABCD;BE;A;AD;B;BCDE;CE;BCDE;ABD;E;;ABDE;BCDE;ACDE;ABCD;ABDE
8231;7,83;17;4,60;34;10,80;2;7;14;8,93;12;ABCE;CE;CD;BC;ABD;ABE;AB;AE;ABE;BD;ABE;ABC;A;ACDE;AD;ABCDE;C;D;ABC;BE;DE;AD;BCE;BCE;AD;CE;ACD;D;BE;AC;BC;ABD;AC;CD;ACE;ABCE;AE;BDE;CD;ABE;BCD;ABCD;ACDE;ABCD;BCDE;ACDE;BCDE;ABCD;CDE;ACDE;ABE;BCDE;ACE;ACDE;ABDE
8494;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8603;6,73;22;4,40;36;7,40;23;7;14;8,13;19;ABD;BCDE;CD;BCE;ACD;CE;BE;CDE;ADE;CE;BDE;B;;ACD;;ACDE;AB;B;C;ABC;DE;AD;ABCD;ACE;C;CDE;CD;ABD;AE;AC;BC;DE;ABE;C;ACE;CE;ABD;AB;CE;AD;BE;AD;AC;AC;BCE;CDE;BCDE;BDE;BCE;CE;ABCDE;BCDE;AE;ABD;BE
8701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9013;6,55;24;6,80;20;7,20;25;5,4;24;6,80;24;CDE;DE;ABCD;BCD;BCE;AC;AC;AB;ABE;BDE;ABCE;AD;ABD;CD;CD;ACD;A;E;AD;ACD;CD;ACE;ABCE;AE;BCE;CE;AE;BD;AE;AC;CD;ACD;AB;ACD;ACE;ACDE;ABCDE;CE;ABC;ABD;DE;AC;ACE;BDE;ACDE;ADE;ACDE;ABCDE;BCD;AE;ABDE;ACD;AB;ABDE;ABDE
9348;10,21;4;11,20;4;10,50;4;6,2;20;12,93;1;BDE;BE;BCDE;BCD;BCD;ABE;AB;ACD;AE;ABC;BDE;ABD;ABD;CE;AD;ACDE;C;A;AB;AC;CD;AD;ABC;ACE;;CD;CD;CD;BE;AC;BC;AB;AB;CD;CDE;ACE;ABCDE;AC;BCE;ABE;BDE;AD;ACD;ABE;BCDE;CDE;BDE;ABD;B;A;ABDE;BCDE;ACDE;BD;ABCDE
9364;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9609;8,43;10;7,20;16;10,00;7;7,6;11;8,93;12;BCDE;BE;CE;BC;BE;ABE;ABC;ABDE;ABDE;;BCDE;ABC;AC;C;AD;ACDE;;D;B;BE;BCDE;ABD;AE;BCDE;;CD;CD;ACD;AE;AC;C;E;CD;CD;ACDE;C;ACD;E;BE;ABDE;BE;AD;ACDE;BD;ABCE;D;BDE;ABCDE;ACE;ACDE;ABDE;BCD;AC;ABCD;E
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
